,Word,Count
0,ards,104
1,pneumonia,76
2,hydroxychloroquine,70
3,convalescent plasma,38
4,intensive care unit,33
5,anxiety,30
6,depression,27
7,cytokine storm,26
8,respiratory failure,25
9,quality of life,24
10,mental health,24
11,pandemic,23
12,safety,19
13,healthcare workers,18
14,mechanical ventilation,18
15,pregnancy,17
16,azithromycin,16
17,critical care,15
18,mortality,14
19,acute lung injury,13
20,treatment,13
21,prevention,13
22,stress,13
23,telemedicine,13
24,inflammation,12
25,favipiravir,12
26,serology,12
27,exercise,12
28,epidemiology,12
29,tocilizumab,12
30,anticoagulation,12
31,mesenchymal stem cells,11
32,children,11
33,cancer,11
34,physical activity,11
35,personal protective equipment,11
36,prophylaxis,10
37,lung ultrasound,10
38,antibodies,10
39,social isolation,10
40,coronavirus infections,10
41,vaccine,10
42,rehabilitation,9
43,nutrition,9
44,chloroquine,9
45,infection,9
46,quarantine,9
47,sleep,9
48,ivermectin,9
49,covid 19 pandemic,9
50,thrombosis,9
51,colchicine,9
52,virus,9
53,confinement,9
54,ruxolitinib,9
55,severe acute respiratory syndrome coronavirus 2 (sars cov 2),9
56,prognosis,9
57,anosmia,9
58,prevalence,9
59,covid 19 drug treatment,8
60,egypt,8
61,health care workers,8
62,immunotherapy,8
63,prone position,8
64,artificial intelligence,8
65,intubation,8
66,vitamin d,8
67,cell therapy,8
68,mesenchymal stromal cells,8
69,intensive care,8
70,sars covid 2,8
71,corona virus infection,7
72,surgery,7
73,pulmonary embolism,7
74,severe acute respiratory syndrome,7
75,diagnosis,7
76,immunity,7
77,coronavirus disease,7
78,acute respiratory failure,7
79,rt pcr,6
80,interferon,6
81,antiviral agents,6
82,burnout,6
83,corona,6
84,randomized controlled trial,6
85,stem cells,6
86,risk factors,6
87,psychological impact,6
88,radiotherapy,6
89,gm csf,6
90,anakinra,6
91,cognition,6
92,resilience,6
93,incidence,6
94,farmagen,6
95,clinical trial,6
96,biomarkers,6
97,mindfulness,6
98,hypoxia,6
99,outcome,6
100,il 6,6
101,novagenix,6
102,vitamin c,6
103,ecmo,6
104,cytokine release syndrome,6
105,post traumatic stress disorder,6
106,viral infection,6
107,obesity,6
108,hypoxemia,6
109,efficacy,6
110,virus diseases,6
111,2019 novel coronavirus,5
112,diabetes,5
113,viral load,5
114,severe pneumonia,5
115,antibody,5
116,microbiome,5
117,child,5
118,heparin,5
119,chemoprophylaxis,5
120,respiratory distress syndrome,5
121,dyspnea,5
122,seroprevalence,5
123,inhaled nitric oxide,5
124,cardiovascular disease,5
125,angiotensin converting enzyme inhibitors,5
126,anti inflammatory,5
127,pain,5
128,lopinavir/ritonavir,5
129,telehealth,5
130,coagulopathy,5
131,oxygen,5
132,elderly,5
133,hospitalization,5
134,msc,5
135,covid 19 infection,5
136,cohort,5
137,stroke,5
138,invasive mechanical ventilation,5
139,ventilation,4
140,critical illness,4
141,covid 19 vaccine,4
142,older adults,4
143,psychological distress,4
144,critically ill,4
145,respiratory disease,4
146,igg,4
147,hypertension,4
148,ambulatory,4
149,covid 19 convalescent plasma,4
150,severe acute respiratory syndrome (sars) pneumonia,4
151,2019 novel coronavirus pneumonia,4
152,containment,4
153,pediatric,4
154,renin angiotensin system,4
155,sepsis,4
156,endoscopy,4
157,machine learning,4
158,corticosteroids,4
159,saliva,4
160,2019 novel coronavirus disease,4
161,antiviral,4
162,corona virus disease,4
163,pandemics,4
164,dexamethasone,4
165,epidemic,4
166,post traumatic stress,4
167,survival,4
168,infectious diseases,4
169,randomized clinical trial,4
170,nitazoxanide,4
171,post exposure prophylaxis,4
172,outcomes,4
173,coagulation,4
174,social media,4
175,eating habits,4
176,outpatient,4
177,infection control,4
178,health personnel,4
179,immunogenicity,4
180,fatigue,4
181,virtual care,4
182,viral pneumonia,4
183,physiotherapy,4
184,cognitive behavioral therapy,4
185,monoclonal antibody,4
186,acute kidney injury,4
187,gargle,3
188,outbreak,3
189,low dose radiotherapy,3
190,pandemia,3
191,self isolation,3
192,kaletra,3
193,dose escalation,3
194,losartan,3
195,loneliness,3
196,ascorbic acid,3
197,aspirin,3
198,olfactory disorders,3
199,general population,3
200,lockdown,3
201,zinc,3
202,older people,3
203,ozone therapy,3
204,otorhinolaryngology,3
205,severe acute respiratory syndrome (sars),3
206,lifestyle,3
207,health,3
208,baricitinib,3
209,bcg,3
210,blood pressure,3
211,myocarditis,3
212,brain,3
213,cohort study,3
214,chloroquine phosphate,3
215,cholecalciferol,3
216,mesenchymal stem cell,3
217,methylprednisolone,3
218,ecg,3
219,radiation,3
220,questionnaire,3
221,education,3
222,yoga,3
223,effectiveness,3
224,mobile health,3
225,remdesivir,3
226,public health,3
227,complications,3
228,emergency department,3
229,prognostic factors,3
230,povidone iodine,3
231,primary care,3
232,pre exposure prophylaxis,3
233,coronavirus disease 2019 (covid 19),3
234,myocardial infarction,3
235,myocardial injury,3
236,nigella sativa,3
237,remote monitoring,3
238,sars cov2 virus,3
239,noninvasive ventilation,3
240,sars cov infection,3
241,novel coronavirus pneumonia,3
242,lung injury,3
243,sars (severe acute respiratory syndrome),3
244,das181,3
245,d dimer,3
246,pathophysiology,3
247,lymphoma,3
248,cardiac function,3
249,cardiac surgery,3
250,malnutrition,3
251,melatonin,3
252,cardiovascular diseases,3
253,risk stratification,3
254,maraviroc,3
255,caregivers,3
256,non invasive ventilation,3
257,coronavirus 2019,3
258,ct,3
259,fibrosis,3
260,fear,3
261,nitric oxide,3
262,respiratory tract diseases,3
263,online learning,3
264,ali,3
265,adults,3
266,immune response,3
267,angiotensin receptor blockers,3
268,hiv,3
269,taste disorders,3
270,transmission,3
271,interferon beta 1a,3
272,survey,3
273,high flow nasal cannula,3
274,healthcare professionals,3
275,symptoms,3
276,acute respiratory distress syndrome (ards),3
277,telmisartan,3
278,trained immunity,3
279,ansun,3
280,telerehabilitation,3
281,heart failure,3
282,humoral immunity,3
283,hyperbaric oxygen,3
284,vertical transmission,3
285,triage,3
286,infectious disease,3
287,adipose derived mesenchymal stem cells,3
288,healthcare,3
289,hemostasis,3
290,interleukin 6,3
291,anesthesia,3
292,healthcare worker,3
293,mesoblast,2
294,acute myocarditis,2
295,transpulmonary thermodilution,2
296,clinical features,2
297,echocardiography,2
298,clinical outcome,2
299,infectious respiratory diseases,2
300,covid 2019,2
301,memorial sloan kettering cancer center,2
302,child psychiatry,2
303,inflammatory lung conditions,2
304,mediterranean diet,2
305,traditional chinese medicine,2
306,inflammatory lung disease,2
307,transcranial magnetic stimulation,2
308,face mask,2
309,remote,2
310,chronic pain,2
311,recovery,2
312,plasma,2
313,messenger rna,2
314,transplanted patients,2
315,chronic inflammatory rheumatism,2
316,eculizumab,2
317,neuroinflammation,2
318,transplantation,2
319,hfnc,2
320,mesenchymal,2
321,viral,2
322,family members,2
323,covid 19;,2
324,rct,2
325,famotidine,2
326,transfusion,2
327,remestemcel l,2
328,inflammasome,2
329,magnetic resonance imaging,2
330,repurposed drug,2
331,early rehabilitation,2
332,respiratory tract infections,2
333,respiratory virus,2
334,thymalfasin,2
335,nivolumab,2
336,acute hypoxemia,2
337,mas,2
338,rheumatoid arthritis,2
339,human,2
340,thromboprophylaxis,2
341,risk factor,2
342,cardiovascular risk factor,2
343,critically ill patient,2
344,rivaroxaban,2
345,innate immune memory,2
346,thrombin generation,2
347,food insecurity,2
348,cardiopulmonary resuscitation,2
349,critically ill patients,2
350,perinatal mortality,2
351,e health,2
352,angiotensin converting enzyme inhibitor,2
353,thymosin alpha 1,2
354,cellular therapy,2
355,physician,2
356,mechanical ventilator,2
357,immune support,2
358,amniotic fluid,2
359,chest ct scan,2
360,chest ct,2
361,neutrophil extracellular traps,2
362,extravascular lung water,2
363,covid19 vaccine,2
364,physical function,2
365,respiratory distress,2
366,anaesthesia,2
367,"respiratory distress syndrome, adult",2
368,news,2
369,eating disorder,2
370,tnf,2
371,respiratory function tests,2
372,respiratory illness,2
373,respiratory infection,2
374,physical activity level,2
375,respiratory insufficiency,2
376,viral respiratory illnesses,2
377,hepatocellular carcinoma,2
378,ebselen,2
379,aki,2
380,extracorporeal membrane oxygenation,2
381,ncov 2019,2
382,electronic nose,2
383,adverse drug event,2
384,contact tracing,2
385,prone positioning,2
386,contact subject,2
387,multicenter,2
388,conjunctivitis,2
389,multi organ failure,2
390,immunosuppression,2
391,electrical impedance tomography,2
392,environmental exposure,2
393,postpartum depression,2
394,nebulization,2
395,uninfected,2
396,venous thromboembolism,2
397,mrna 1273 vaccine,2
398,computed tomography,2
399,mrna 1273,2
400,proton pump inhibitors,2
401,covid 19 convalescent plasma treatment,2
402,venous ultrasound,2
403,adaptive,2
404,young children,2
405,continuous positive airway pressure,2
406,microbiome metabolic therapy,2
407,adolescent,2
408,nac,2
409,nafamostat,2
410,coronavirus disease 19 (covid 19),2
411,precision medicine,2
412,vasculitis,2
413,coronavirus 2,2
414,hospitalized patients,2
415,young adults,2
416,coronaviridae infections,2
417,ade,2
418,pregnant women,2
419,endotracheal intubation,2
420,immunology,2
421,encephalitis,2
422,prep,2
423,vector vaccine,2
424,adult,2
425,veno venous ecmo,2
426,adult respiratory distress syndrome,2
427,immunomodulator,2
428,nasopharyngeal swab,2
429,probiotic,2
430,movement disorders,2
431,umifenovir,2
432,covid 19 diagnostic testing,2
433,exercises,2
434,misinformation,2
435,type 2 diabetes,2
436,turkish society,2
437,mirna,2
438,hyposmia,2
439,mindfulness meditation,2
440,qualitative research,2
441,efficiency,2
442,high/moderate risk of transmission,2
443,households,2
444,high risk,2
445,post intensive care syndrome,2
446,exosome,2
447,invasive ventilation,2
448,covid 19 virus,2
449,trial,2
450,covid 19 virus infection,2
451,covid 19 virus testing,2
452,immune system,2
453,microclots,2
454,rt pcr sars cov 2,2
455,treatment resistance,2
456,pulmonary vascular permeability index,2
457,"pneumonia, viral",2
458,evolution,2
459,pulmonary rehabilitation,2
460,umbilical cord,2
461,covid 19 disease,2
462,ultrasonography,2
463,post exposure prophylaxis (pep),2
464,escape mutation,2
465,covid 19 epidemic,2
466,ad5,2
467,ptsd,2
468,veterans,2
469,moderna,2
470,immunoassay,2
471,covid 19 phase i,2
472,eicosanoids,2
473,ageusia,2
474,pocus,2
475,covid 19 prophylaxis,2
476,pulmonary function,2
477,uc mscs,2
478,pneumonitis,2
479,mmt,2
480,cognitive impairment,2
481,ino,2
482,follow up,2
483,hemodialysis,2
484,cross sectional study,2
485,systemic lupus erythematosus,2
486,il 1,2
487,severity,2
488,doctors,2
489,glycan,2
490,intervention study,2
491,bariatric surgery,2
492,hydroxy chloroquine,2
493,bacillus calmette guérin vaccination,2
494,observational study,2
495,ayurveda,2
496,singapore,2
497,sirolimus,2
498,laryngoscope,2
499,aviptadil,2
500,granulocyte macrophage colony stimulating factor (gm csf),2
501,oxygen saturation,2
502,antibody test,2
503,occupational exposure,2
504,"antibodies, monoclonal, humanized",2
505,severe disease,2
506,igm,2
507,nursing care,2
508,seroconversion,2
509,biobank,2
510,seroepidemiology,2
511,genetic factors,2
512,serological testing,2
513,decision making,2
514,deep learning,2
515,liver cirrhosis,2
516,bi 655066,2
517,anti pd1,2
518,deep vein thrombosis,2
519,deep venous thrombosis,2
520,severe,2
521,severe acute respiratory infection,2
522,volatile organic compounds,2
523,ace2,2
524,anti sars cov 2 plasma,2
525,pancreatic islet transplantation,2
526,nucleocapsid,2
527,sleep disorders,2
528,diabetes mellitus,2
529,vitamin d3,2
530,artesunate,2
531,spinal cord injury,2
532,antigen presentation,2
533,jak inhibitor,2
534,ivig,2
535,intravascular access,2
536,arb,2
537,statin,2
538,stellate ganglion,2
539,diagnostics,2
540,ifn beta 1b,2
541,health workers,2
542,isolation,2
543,apc,2
544,apache ii,2
545,digital intervention,2
546,2019 ncov infection,2
547,digital,2
548,health professionals,2
549,students,2
550,spi 1005,2
551,healthcare personnel,2
552,acalabrutinib,2
553,specificity,2
554,sleep quality,2
555,lactoferrin,2
556,oximetry,2
557,smartwatch,2
558,laboratory,2
559,gut microbiota,2
560,academic performance,2
561,outpatients,2
562,abbv 066,2
563,asymptomatic infection,2
564,social distancing,2
565,asymptomatic,2
566,3 d,2
567,kb109,2
568,hcq,2
569,solid organ transplantation,2
570,soliris,2
571,kaleido biosciences,2
572,kaleido,2
573,taste,2
574,leukemia,2
575,lung disease,2
576,sars cov 2 pneumonia,2
577,drug therapy,2
578,sars cov 2 vaccine,2
579,lung cancer,2
580,testing,2
581,btk inhibitor,2
582,bromhexine,2
583,lqts,2
584,brainstem,2
585,lower respiratory tract disease,2
586,low molecular weight heparin,2
587,sars pneumonia,2
588,sars virus,2
589,low level laser therapy,2
590,satisfaction,2
591,patient reported outcomes,2
592,lung diseases,2
593,sars cov,2
594,tele yoga therapy,2
595,sars coronavirus 2,2
596,insomnia,2
597,acute coronary syndrome,2
598,oncology,2
599,"safety care, covid, primary care, organization of care",2
600,therapeutic treatment,2
601,dysgeusia,2
602,dysautonomia,2
603,sample collection,2
604,angiotensin receptor blocker,2
605,lung ultrasonography,2
606,sarcopenia,2
607,sarilumab,2
608,therapeutic anticoagulation,2
609,canakinumab,2
610,sars coronavirus,2
611,drug interaction,2
612,immunoglobulins,2
613,humoral response,2
614,cytosorb,2
615,self compassion,2
616,passive immunization,2
617,screening,2
618,d dimers,2
619,data analytics,2
620,hydrocortisone,2
621,pathogens,2
622,biomarker,2
623,sensitivity,2
624,sedation,2
625,anti inflammatory effects,2
626,cytokines,2
627,gastrointestinal,2
628,double filtration plasmapheresis,1
629,disability,1
630,hyperbaric chamber,1
631,elective,1
632,hydrochloroquine,1
633,elisa test,1
634,duration of intensive care stay,1
635,elisa,1
636,host directed therapeutic,1
637,early extubation,1
638,electroporation,1
639,disease outbreak,1
640,emergency visits,1
641,early discharge,1
642,huaier granule,1
643,electrophysiology,1
644,disability physical,1
645,emdr,1
